2026-06-07 00:20:36 | INFO     | 2631898142.py (Line:41) | INITIALIZING ARCHITECTURAL MODULE: MULTI-MODEL TRAINING PIPELINE
2026-06-07 00:44:27 | INFO     | 3764737525.py (Line:20) | Successfully loaded blueprint dictionary with 7 models ready for training.
2026-06-07 00:44:29 | INFO     | 3764737525.py (Line:24) | Dimenstions verified : x_train (241, 18) | x_test (61, 18)
2026-06-07 00:44:29 | INFO     | 3764737525.py (Line:25) | Startig multimodel Excution loop
2026-06-07 00:44:29 | INFO     | 3764737525.py (Line:27) | processing model Logistic_Regression
2026-06-07 00:44:29 | INFO     | 3764737525.py (Line:40) | [Logistic_Regression] Evaluation complete. Recall: 0.8485 | ROC-AUC: 0.8690
2026-06-07 00:44:29 | INFO     | 3764737525.py (Line:27) | processing model SVM
2026-06-07 00:44:29 | INFO     | 3764737525.py (Line:40) | [SVM] Evaluation complete. Recall: 0.9394 | ROC-AUC: 0.9026
2026-06-07 00:44:29 | INFO     | 3764737525.py (Line:27) | processing model KNN
2026-06-07 00:44:29 | INFO     | 3764737525.py (Line:40) | [KNN] Evaluation complete. Recall: 0.9091 | ROC-AUC: 0.8810
2026-06-07 00:44:29 | INFO     | 3764737525.py (Line:27) | processing model Naive_Bayes
2026-06-07 00:44:29 | INFO     | 3764737525.py (Line:40) | [Naive_Bayes] Evaluation complete. Recall: 0.3636 | ROC-AUC: 0.7825
2026-06-07 00:44:29 | INFO     | 3764737525.py (Line:27) | processing model Decision_Tree
2026-06-07 00:44:29 | INFO     | 3764737525.py (Line:40) | [Decision_Tree] Evaluation complete. Recall: 0.7576 | ROC-AUC: 0.7181
2026-06-07 00:44:29 | INFO     | 3764737525.py (Line:27) | processing model Random_Forest
2026-06-07 00:44:29 | INFO     | 3764737525.py (Line:40) | [Random_Forest] Evaluation complete. Recall: 0.8788 | ROC-AUC: 0.8934
2026-06-07 00:44:29 | INFO     | 3764737525.py (Line:27) | processing model XGBoost
2026-06-07 00:44:29 | INFO     | 3764737525.py (Line:40) | [XGBoost] Evaluation complete. Recall: 0.8485 | ROC-AUC: 0.8593
2026-06-07 00:44:29 | INFO     | 3764737525.py (Line:45) | Multi-model excution complete
2026-06-07 00:44:44 | INFO     | 3764737525.py (Line:20) | Successfully loaded blueprint dictionary with 7 models ready for training.
2026-06-07 00:44:46 | INFO     | 3764737525.py (Line:24) | Dimenstions verified : x_train (241, 18) | x_test (61, 18)
2026-06-07 00:44:46 | INFO     | 3764737525.py (Line:25) | Startig multimodel Excution loop
2026-06-07 00:44:46 | INFO     | 3764737525.py (Line:27) | processing model Logistic_Regression
2026-06-07 00:44:46 | INFO     | 3764737525.py (Line:40) | [Logistic_Regression] Evaluation complete. Recall: 0.8485 | ROC-AUC: 0.8690
2026-06-07 00:44:46 | INFO     | 3764737525.py (Line:27) | processing model SVM
2026-06-07 00:44:46 | INFO     | 3764737525.py (Line:40) | [SVM] Evaluation complete. Recall: 0.9394 | ROC-AUC: 0.9026
2026-06-07 00:44:46 | INFO     | 3764737525.py (Line:27) | processing model KNN
2026-06-07 00:44:46 | INFO     | 3764737525.py (Line:40) | [KNN] Evaluation complete. Recall: 0.9091 | ROC-AUC: 0.8810
2026-06-07 00:44:46 | INFO     | 3764737525.py (Line:27) | processing model Naive_Bayes
2026-06-07 00:44:46 | INFO     | 3764737525.py (Line:40) | [Naive_Bayes] Evaluation complete. Recall: 0.3636 | ROC-AUC: 0.7825
2026-06-07 00:44:46 | INFO     | 3764737525.py (Line:27) | processing model Decision_Tree
2026-06-07 00:44:46 | INFO     | 3764737525.py (Line:40) | [Decision_Tree] Evaluation complete. Recall: 0.7576 | ROC-AUC: 0.7181
2026-06-07 00:44:46 | INFO     | 3764737525.py (Line:27) | processing model Random_Forest
2026-06-07 00:44:46 | INFO     | 3764737525.py (Line:40) | [Random_Forest] Evaluation complete. Recall: 0.8788 | ROC-AUC: 0.8934
2026-06-07 00:44:46 | INFO     | 3764737525.py (Line:27) | processing model XGBoost
2026-06-07 00:44:46 | INFO     | 3764737525.py (Line:40) | [XGBoost] Evaluation complete. Recall: 0.8485 | ROC-AUC: 0.8593
2026-06-07 00:44:46 | INFO     | 3764737525.py (Line:45) | Multi-model excution complete
2026-06-07 00:47:34 | INFO     | 1068448775.py (Line:20) | Successfully loaded blueprint dictionary with 7 models ready for training.
2026-06-07 00:47:36 | INFO     | 1068448775.py (Line:24) | Dimenstions verified : x_train (241, 18) | x_test (61, 18)
2026-06-07 00:47:36 | INFO     | 1068448775.py (Line:25) | Startig multimodel Excution loop
2026-06-07 00:47:36 | INFO     | 1068448775.py (Line:27) | processing model Logistic_Regression
2026-06-07 00:47:36 | INFO     | 1068448775.py (Line:40) | [Logistic_Regression] Evaluation complete. Recall: 0.8485 | ROC-AUC: 0.8690
2026-06-07 00:47:36 | INFO     | 1068448775.py (Line:27) | processing model SVM
2026-06-07 00:47:36 | INFO     | 1068448775.py (Line:40) | [SVM] Evaluation complete. Recall: 0.9394 | ROC-AUC: 0.9026
2026-06-07 00:47:36 | INFO     | 1068448775.py (Line:27) | processing model KNN
2026-06-07 00:47:36 | INFO     | 1068448775.py (Line:40) | [KNN] Evaluation complete. Recall: 0.9091 | ROC-AUC: 0.8810
2026-06-07 00:47:36 | INFO     | 1068448775.py (Line:27) | processing model Naive_Bayes
2026-06-07 00:47:36 | INFO     | 1068448775.py (Line:40) | [Naive_Bayes] Evaluation complete. Recall: 0.3636 | ROC-AUC: 0.7825
2026-06-07 00:47:36 | INFO     | 1068448775.py (Line:27) | processing model Decision_Tree
2026-06-07 00:47:36 | INFO     | 1068448775.py (Line:40) | [Decision_Tree] Evaluation complete. Recall: 0.7576 | ROC-AUC: 0.7181
2026-06-07 00:47:36 | INFO     | 1068448775.py (Line:27) | processing model Random_Forest
2026-06-07 00:47:37 | INFO     | 1068448775.py (Line:40) | [Random_Forest] Evaluation complete. Recall: 0.8788 | ROC-AUC: 0.8934
2026-06-07 00:47:37 | INFO     | 1068448775.py (Line:27) | processing model XGBoost
2026-06-07 00:47:37 | INFO     | 1068448775.py (Line:40) | [XGBoost] Evaluation complete. Recall: 0.8485 | ROC-AUC: 0.8593
2026-06-07 00:47:37 | INFO     | 1068448775.py (Line:45) | Multi-model excution complete
2026-06-07 00:47:49 | INFO     | 1068448775.py (Line:24) | Dimenstions verified : x_train (241, 18) | x_test (61, 18)
2026-06-07 00:47:49 | INFO     | 1068448775.py (Line:25) | Startig multimodel Excution loop
2026-06-07 00:47:49 | INFO     | 1068448775.py (Line:27) | processing model Logistic_Regression
2026-06-07 00:47:49 | INFO     | 1068448775.py (Line:40) | [Logistic_Regression] Evaluation complete. Recall: 0.8485 | ROC-AUC: 0.8690
2026-06-07 00:47:49 | INFO     | 1068448775.py (Line:27) | processing model SVM
2026-06-07 00:47:49 | INFO     | 1068448775.py (Line:40) | [SVM] Evaluation complete. Recall: 0.9394 | ROC-AUC: 0.9026
2026-06-07 00:47:49 | INFO     | 1068448775.py (Line:27) | processing model KNN
2026-06-07 00:47:49 | INFO     | 1068448775.py (Line:40) | [KNN] Evaluation complete. Recall: 0.9091 | ROC-AUC: 0.8810
2026-06-07 00:47:49 | INFO     | 1068448775.py (Line:27) | processing model Naive_Bayes
2026-06-07 00:47:49 | INFO     | 1068448775.py (Line:40) | [Naive_Bayes] Evaluation complete. Recall: 0.3636 | ROC-AUC: 0.7825
2026-06-07 00:47:49 | INFO     | 1068448775.py (Line:27) | processing model Decision_Tree
2026-06-07 00:47:49 | INFO     | 1068448775.py (Line:40) | [Decision_Tree] Evaluation complete. Recall: 0.7576 | ROC-AUC: 0.7181
2026-06-07 00:47:49 | INFO     | 1068448775.py (Line:27) | processing model Random_Forest
2026-06-07 00:47:49 | INFO     | 1068448775.py (Line:40) | [Random_Forest] Evaluation complete. Recall: 0.8788 | ROC-AUC: 0.8934
2026-06-07 00:47:49 | INFO     | 1068448775.py (Line:27) | processing model XGBoost
2026-06-07 00:47:49 | INFO     | 1068448775.py (Line:40) | [XGBoost] Evaluation complete. Recall: 0.8485 | ROC-AUC: 0.8593
2026-06-07 00:47:49 | INFO     | 1068448775.py (Line:45) | Multi-model excution complete
2026-06-07 00:48:37 | INFO     | 1068448775.py (Line:24) | Dimenstions verified : x_train (241, 18) | x_test (61, 18)
2026-06-07 00:48:37 | INFO     | 1068448775.py (Line:25) | Startig multimodel Excution loop
2026-06-07 00:48:37 | INFO     | 1068448775.py (Line:27) | processing model Logistic_Regression
2026-06-07 00:48:37 | INFO     | 1068448775.py (Line:40) | [Logistic_Regression] Evaluation complete. Recall: 0.8485 | ROC-AUC: 0.8690
2026-06-07 00:48:37 | INFO     | 1068448775.py (Line:27) | processing model SVM
2026-06-07 00:48:37 | INFO     | 1068448775.py (Line:40) | [SVM] Evaluation complete. Recall: 0.9394 | ROC-AUC: 0.9026
2026-06-07 00:48:37 | INFO     | 1068448775.py (Line:27) | processing model KNN
2026-06-07 00:48:37 | INFO     | 1068448775.py (Line:40) | [KNN] Evaluation complete. Recall: 0.9091 | ROC-AUC: 0.8810
2026-06-07 00:48:37 | INFO     | 1068448775.py (Line:27) | processing model Naive_Bayes
2026-06-07 00:48:37 | INFO     | 1068448775.py (Line:40) | [Naive_Bayes] Evaluation complete. Recall: 0.3636 | ROC-AUC: 0.7825
2026-06-07 00:48:37 | INFO     | 1068448775.py (Line:27) | processing model Decision_Tree
2026-06-07 00:48:37 | INFO     | 1068448775.py (Line:40) | [Decision_Tree] Evaluation complete. Recall: 0.7576 | ROC-AUC: 0.7181
2026-06-07 00:48:37 | INFO     | 1068448775.py (Line:27) | processing model Random_Forest
2026-06-07 00:48:38 | INFO     | 1068448775.py (Line:40) | [Random_Forest] Evaluation complete. Recall: 0.8788 | ROC-AUC: 0.8934
2026-06-07 00:48:38 | INFO     | 1068448775.py (Line:27) | processing model XGBoost
2026-06-07 00:48:38 | INFO     | 1068448775.py (Line:40) | [XGBoost] Evaluation complete. Recall: 0.8485 | ROC-AUC: 0.8593
2026-06-07 00:48:38 | INFO     | 1068448775.py (Line:45) | Multi-model excution complete
2026-06-07 01:22:14 | INFO     | 2748788833.py (Line:34) | Tuning blueprint registered with GridSearch wrappers for SVM, RF, and XGBoost.
2026-06-07 01:22:38 | INFO     | 3291575411.py (Line:3) | Dimenstions verified : x_train (241, 18) | x_test (61, 18)
2026-06-07 01:22:38 | INFO     | 3291575411.py (Line:4) | Startig multimodel Excution loop
2026-06-07 01:22:38 | INFO     | 3291575411.py (Line:6) | processing model Logistic_Regression
2026-06-07 01:22:38 | INFO     | 3291575411.py (Line:25) | [Logistic_Regression] Evaluation complete. Recall: 0.8485 | ROC-AUC: 0.8690
2026-06-07 01:22:38 | INFO     | 3291575411.py (Line:6) | processing model KNN
2026-06-07 01:22:38 | INFO     | 3291575411.py (Line:25) | [KNN] Evaluation complete. Recall: 0.9091 | ROC-AUC: 0.8810
2026-06-07 01:22:38 | INFO     | 3291575411.py (Line:6) | processing model Naive_Bayes
2026-06-07 01:22:38 | INFO     | 3291575411.py (Line:25) | [Naive_Bayes] Evaluation complete. Recall: 0.3636 | ROC-AUC: 0.7825
2026-06-07 01:22:38 | INFO     | 3291575411.py (Line:6) | processing model Decision_Tree
2026-06-07 01:22:38 | INFO     | 3291575411.py (Line:25) | [Decision_Tree] Evaluation complete. Recall: 0.7576 | ROC-AUC: 0.7181
2026-06-07 01:22:38 | INFO     | 3291575411.py (Line:6) | processing model SVM
2026-06-07 01:22:52 | INFO     | 3291575411.py (Line:11) | [SVM] Optimal Hyperparameters Found: {'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}
2026-06-07 01:22:52 | INFO     | 3291575411.py (Line:25) | [SVM] Evaluation complete. Recall: 0.8788 | ROC-AUC: 0.8810
2026-06-07 01:22:52 | INFO     | 3291575411.py (Line:6) | processing model Random_Forest
2026-06-07 01:22:58 | INFO     | 3291575411.py (Line:11) | [Random_Forest] Optimal Hyperparameters Found: {'class_weight': 'balanced', 'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 200}
2026-06-07 01:22:58 | INFO     | 3291575411.py (Line:25) | [Random_Forest] Evaluation complete. Recall: 0.9394 | ROC-AUC: 0.9069
2026-06-07 01:22:58 | INFO     | 3291575411.py (Line:6) | processing model XGBoost
2026-06-07 01:23:00 | INFO     | 3291575411.py (Line:11) | [XGBoost] Optimal Hyperparameters Found: {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150}
2026-06-07 01:23:00 | INFO     | 3291575411.py (Line:25) | [XGBoost] Evaluation complete. Recall: 0.8788 | ROC-AUC: 0.8745
2026-06-07 01:23:00 | INFO     | 3291575411.py (Line:30) | Multi-model excution complete
2026-06-07 01:34:29 | INFO     | 2673794278.py (Line:3) | Dimenstions verified : x_train (241, 18) | x_test (61, 18)
2026-06-07 01:34:29 | INFO     | 2673794278.py (Line:4) | Startig multimodel Excution loop
2026-06-07 01:34:29 | INFO     | 2673794278.py (Line:6) | processing model Logistic_Regression
2026-06-07 01:34:29 | ERROR    | 2673794278.py (Line:31) | Execution crash model Logistic_Regression. Error details: name 'cross_val_score' is not defined
2026-06-07 01:34:29 | INFO     | 2673794278.py (Line:6) | processing model KNN
2026-06-07 01:34:29 | ERROR    | 2673794278.py (Line:31) | Execution crash model KNN. Error details: name 'cross_val_score' is not defined
2026-06-07 01:34:29 | INFO     | 2673794278.py (Line:6) | processing model Naive_Bayes
2026-06-07 01:34:29 | ERROR    | 2673794278.py (Line:31) | Execution crash model Naive_Bayes. Error details: name 'cross_val_score' is not defined
2026-06-07 01:34:29 | INFO     | 2673794278.py (Line:6) | processing model Decision_Tree
2026-06-07 01:34:29 | ERROR    | 2673794278.py (Line:31) | Execution crash model Decision_Tree. Error details: name 'cross_val_score' is not defined
2026-06-07 01:34:29 | INFO     | 2673794278.py (Line:6) | processing model SVM
2026-06-07 01:34:34 | ERROR    | 2673794278.py (Line:31) | Execution crash model SVM. Error details: name 'cross_val_score' is not defined
2026-06-07 01:34:34 | INFO     | 2673794278.py (Line:6) | processing model Random_Forest
2026-06-07 01:34:40 | ERROR    | 2673794278.py (Line:31) | Execution crash model Random_Forest. Error details: name 'cross_val_score' is not defined
2026-06-07 01:34:40 | INFO     | 2673794278.py (Line:6) | processing model XGBoost
2026-06-07 01:34:42 | ERROR    | 2673794278.py (Line:31) | Execution crash model XGBoost. Error details: name 'cross_val_score' is not defined
2026-06-07 01:34:42 | INFO     | 2673794278.py (Line:33) | Multi-model excution complete
2026-06-07 01:35:10 | INFO     | 2885889444.py (Line:4) | Dimenstions verified : x_train (241, 18) | x_test (61, 18)
2026-06-07 01:35:10 | INFO     | 2885889444.py (Line:5) | Startig multimodel Excution loop
2026-06-07 01:35:10 | INFO     | 2885889444.py (Line:7) | processing model Logistic_Regression
2026-06-07 01:35:10 | INFO     | 2885889444.py (Line:29) | [Logistic_Regression] Evaluation complete. Recall: 0.8485 | ROC-AUC: 0.8690
2026-06-07 01:35:10 | INFO     | 2885889444.py (Line:7) | processing model KNN
2026-06-07 01:35:11 | INFO     | 2885889444.py (Line:29) | [KNN] Evaluation complete. Recall: 0.9091 | ROC-AUC: 0.8810
2026-06-07 01:35:11 | INFO     | 2885889444.py (Line:7) | processing model Naive_Bayes
2026-06-07 01:35:11 | INFO     | 2885889444.py (Line:29) | [Naive_Bayes] Evaluation complete. Recall: 0.3636 | ROC-AUC: 0.7825
2026-06-07 01:35:11 | INFO     | 2885889444.py (Line:7) | processing model Decision_Tree
2026-06-07 01:35:11 | INFO     | 2885889444.py (Line:29) | [Decision_Tree] Evaluation complete. Recall: 0.7576 | ROC-AUC: 0.7181
2026-06-07 01:35:11 | INFO     | 2885889444.py (Line:7) | processing model SVM
2026-06-07 01:35:16 | INFO     | 2885889444.py (Line:15) | [SVM] Optimal Hyperparameters Found: {'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}
2026-06-07 01:35:16 | INFO     | 2885889444.py (Line:29) | [SVM] Evaluation complete. Recall: 0.8788 | ROC-AUC: 0.8810
2026-06-07 01:35:16 | INFO     | 2885889444.py (Line:7) | processing model Random_Forest
2026-06-07 01:36:10 | INFO     | 2885889444.py (Line:15) | [Random_Forest] Optimal Hyperparameters Found: {'class_weight': 'balanced', 'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 200}
2026-06-07 01:36:10 | INFO     | 2885889444.py (Line:29) | [Random_Forest] Evaluation complete. Recall: 0.9394 | ROC-AUC: 0.9069
2026-06-07 01:36:10 | INFO     | 2885889444.py (Line:7) | processing model XGBoost
2026-06-07 01:36:18 | INFO     | 2885889444.py (Line:15) | [XGBoost] Optimal Hyperparameters Found: {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150}
2026-06-07 01:36:18 | INFO     | 2885889444.py (Line:29) | [XGBoost] Evaluation complete. Recall: 0.8788 | ROC-AUC: 0.8745
2026-06-07 01:36:18 | INFO     | 2885889444.py (Line:34) | Multi-model excution complete
